YEAR ,MONTH,DAY,PERIOD,VALUE
2019,1,1,1,1186
2019,1,1,2,1119
2019,1,1,3,1003
2019,1,1,4,1049
2019,1,1,5,1017
2019,1,1,6,956
2019,1,1,7,946
2019,1,1,8,983
2019,1,1,9,1032
2019,1,1,10,1026
2019,1,1,11,1039
2019,1,1,12,1064
2019,1,1,13,1205
2019,1,1,14,1144
2019,1,1,15,1168
2019,1,1,16,1209
2019,1,1,17,1162
2019,1,1,18,1150
2019,1,1,19,1098
2019,1,1,20,1128
2019,1,1,21,1251
2019,1,1,22,1411
2019,1,1,23,1468
2019,1,1,24,1400
2019,1,2,1,1238
2019,1,2,2,1098
2019,1,2,3,1042
2019,1,2,4,970
2019,1,2,5,925
2019,1,2,6,935
2019,1,2,7,974
2019,1,2,8,1085
2019,1,2,9,1205
2019,1,2,10,1322
2019,1,2,11,1396
2019,1,2,12,1437
2019,1,2,13,1474
2019,1,2,14,1493
2019,1,2,15,1489
2019,1,2,16,1496
2019,1,2,17,1479
2019,1,2,18,1441
2019,1,2,19,1391
2019,1,2,20,1367
2019,1,2,21,1447
2019,1,2,22,1495
2019,1,2,23,1509
2019,1,2,24,1428
2019,1,3,1,1238
2019,1,3,2,1098
2019,1,3,3,1042
2019,1,3,4,970
2019,1,3,5,925
2019,1,3,6,935
2019,1,3,7,974
2019,1,3,8,1085
2019,1,3,9,1205
2019,1,3,10,1322
2019,1,3,11,1396
2019,1,3,12,1437
2019,1,3,13,1474
2019,1,3,14,1493
2019,1,3,15,1489
2019,1,3,16,1496
2019,1,3,17,1479
2019,1,3,18,1441
2019,1,3,19,1391
2019,1,3,20,1367
2019,1,3,21,1447
2019,1,3,22,1495
2019,1,3,23,1509
2019,1,3,24,1428
